Store,Address,Address,City,State,Zip,Country,Tags,Description,URL,Hours,Phone,Email,Image,Fax,Latitude,Longitude,Private,Neat Title,Category
17 North Roadside Kitchen,3563 Hwy. 17,,Mt. Pleasant,SC,29466,United States,modern american,,,,,,,,,,,,"Restaurant,American"
181 Palmer,66 Columbus St.,,Charleston,SC,29403,United States,modern american,,,,,,,,,,,,"Restaurant,American"
24 N. Market,24 N. Market St.,,Charleston,SC,,United States,american,,,,(843) 727-3500,,,,,,,,"Restaurant,American"
32º A Yogurt Bar,315 King St.,,Charleston,SC,,United States,"ice cream, frozen yogurt",,,,(843) 937-9510,,,,,,,,"Cafe,Frozen Yogurt"
39 Rue De Jean,39 John St.,,Charleston,SC,,United States,french,,,,(843) 722-8881,,,,,,,,"Restaurant,French"
82 Queen,82 Queen St.,,Charleston,SC,,United States,southern,,,,(843) 723-7591,,,,,,,,"Restaurant,American,Southern"
A.C.'s Bar and Grill,467 King St.,,Charleston,SC,,United States,pub,,,,(843) 577-6742,,,,,,,,"Restaurant,Seafood"
A.W. Shuck's Seafood Restaurant & Oyster Bar,70 State St.,,Charleston,SC,,United States,seafood,,,,(843) 723-1151,,,,,,,,"Restaurant,Seafood"
Acme Lowcountry Cantina,31 J. C. Long Blvd.,,Isle of Palms,SC,,United States,"seafood, breakfast",,,,(843) 886-0024,,,,,,,,"Restaurant,Breakfast,Seafood"
Al di La,25 Magnolia Road,,West Ashley,SC,,United States,italian,,,,(843) 571-2321,,,,,,,,"Restaurant,Italian"
Alessandra's Italian Eatery,114 Central Ave.,,Summerville,SC,,United States,italian,,,,(843) 821-7878,,,,,,,,"Restaurant,Italian"
Ali Baba Mediterranean Deli & Catering,186 Seven Farms Drive,,Daniel Island,SC,,United States,mediterranean,,,,(843) 377-8666,,,,,,,,"Restaurant,Mediterranean"
Ali Baba Mediterranean Food,920 Houston Northcutt Blvd.,,Mt Pleasant,SC,,United States,mediterranean,,,,(843) 388-0683,,,,,,,,"Restaurant,Mediterranean"
Alluette's Café,80A Reid St.,,Charleston,SC,,United States,"vegetarian, cafe",,,,(843) 577-6926,,,,,,,,"Restaurant,Vegetarian"
Amalfi's Italian Restaurant and Pizzeria,664 E Long Point Road,Belle Hall Shopping Center,Mt Pleasant,SC,29464,United States,italian,"We specialize in Italian cuisine. Our recipes stem from our roots in Napoli, Italy.  Here at Amalfi's we use only the finest ingredients and the freshest products available.  Pizza, pasta, strombolis, calzones, subs, traditional Italian entrees and more! From our delicious homemade sauces to our wonderful homemade dough and breads, you find them all superb! We hope to see you soon! A presto! Grazie!",,"11:00A - 10:00P Mon-Thu, 11:00A - 11:00P Fri-Sat, 12:00P - 9:30P Sun",(843) 793-4265,,,,,,,,"Restaurant,Italian,Pizza"
Amen Street Fish and Raw Bar,205 E. Bay St.,,Charleston,SC,,United States,seafood,,,,(843) 853-8600,,,,,,,,"Restaurant,Seafood"
