"sl_id","sl_store","sl_address","sl_address2","sl_city","sl_state","sl_zip","sl_latitude","sl_longitude","sl_tags","sl_description","sl_url","sl_hours","sl_phone","sl_image","sl_private","sl_neat_title","sl_country","sl_email","sl_fax","sl_linked_postid","sl_pages_url","sl_pages_on","sl_option_value","sl_lastupdated"
"1","Air &amp; Plumbing Systems Inc.","285 Sobrante Way","Unit P1","Sunnyvale","CA","94085","37.3840903","-122.0342895","furnace repair&#44;","Local Heating Specialist","http://www.airandplumbing.com","8-5 monday - saturday","1-408-733-2000","http://www.airandplumbing.com/wp-content/uploads/2012/12/300x70aandplogo5.png",,,,,,"11504","http://www.thehvac.net/member/air-plumbing-systems-inc/",,,"0000-00-00 00:00:00"
"2","Convectek Inc","3333 Bowers Ave.",,"Santa Clara","CA","95054","37.380495","-121.977935","furnace repair&#44;","Servicing Indoor Comfort - Offering Peace of Mind","http://convectek.thehvac.net/heating-and-furnace-repair-in-san-jose-and-surrounding-areas","8-5 Monday - Saturday","408-503-6317","http://www.convectek.com/wp-content/uploads/2011/08/logo_convectek.png",,,,,,"12373","http://www.thehvac.net/member/convectek-inc/",,,"0000-00-00 00:00:00"
"3","My HVAC Shop HQ","285 Sobrante Way","Unit P2","Sunnyvale","CA","94085","37.3840953","-122.034256","furnace repair&#44;","Local HVAC Equipment Supply House","http://www.airandplumbing.com","8-5 monday - saturday","1-800-282-4912","http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-2.png",,,,,,"12901","http://www.thehvac.net/member/my-hvac-shop-hq/",,,"0000-00-00 00:00:00"
"4","Global HVAC Distributors","900 Spreckles Ave.",,"Manteca","CA","95336","37.785927","-121.200851","furnace repair&#44;","Your 911 For Plumbing, Heating & A/C","http://www.globalhvac.net","8-5 monday - saturday","1-800-282-4912","http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png",,,,,,"12579","http://www.thehvac.net/member/global-hvac-distributors/",,,"0000-00-00 00:00:00"
"1160","AandB Heating and Air Conditioning","15321 Purdy Street",,"Westminster","CA","92683","33.740165","-117.978251","heater repair","Most Respected Name in the Region","http://aandbheating.myhvacshop.com/services/","8-5 monday - saturday","(714) 903-8569","http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-7.png",,,,,,"11447","http://www.thehvac.net/member/aandb-heating-and-air-conditioning/",,,"0000-00-00 00:00:00"
"1161","A and B Mechanical, Inc.","26062 Eden Landing Road",,"Hayward","CA","94545","37.6268617","-122.1204487","heater repair","When You Need it Fast and You Need it Expert","http://aandbmechanical.myhvacshop.com/services/","8-5 monday - saturday","(510) 264-5800","http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-8.png",,,,,,"11425","http://www.thehvac.net/member/a-and-b-mechanical-inc/",,,"0000-00-00 00:00:00"
"1163","AandG HVAC A Partnership","816 Fallen Leaf Lane",,"Modesto","CA","95351","37.617524","-120.982176","heater repair","Our comfort depends on your comfort","http://aandghvac.myhvacshop.com/services/","8-5 monday - saturday","(209) 204-2063","http://www.myhvacshop.com/wp-content/uploads/2012/12/FurnaceRepair1.png",,,,,,"11448","http://www.thehvac.net/member/aandg-hvac-a-partnership/",,,"0000-00-00 00:00:00"
"1164","A and M Htg Air Cond","27135 Garza Drive",,"Santa Clarita","CA","91350","34.435912","-118.525047","heater repair","Don't Delay Call Today","http://aandmhtg.myhvacshop.com/services/","8-5 monday - saturday","(818) 341-7757","http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-1.png",,,,,,"11428","http://www.thehvac.net/member/a-and-m-htg-air-cond/",,,"0000-00-00 00:00:00"
"1166","AC Depot, Inc.","7349 Topanga Canyon Blvd",,"Canoga Park","CA","91303","34.204263","-118.606263","heater repair","Where Experts Fix Your Problems","http://acdepotinc.myhvacshop.com/services/","8-5 monday - saturday","(818) 676-0060","http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-3.png",,,,,,"11471","http://www.thehvac.net/member/ac-depot-inc/",,,"0000-00-00 00:00:00"
"1168","A 1 Ocean Breeze Inc.","26845 Oak Avenue Unit 16",,"Canyon Country","CA","91351","34.424732","-118.501046","heater repair","When You Need an Expert","http://www.thehvac.net/member/a-1-ocean-breeze-inc/","8-5 monday - saturday","(661) 252-6800","http://www.myhvacshop.com/wp-content/uploads/2012/12/map-square-4.png",,,,,,"11422","http://www.thehvac.net/member/a-1-ocean-breeze-inc/",,,"0000-00-00 00:00:00"
